,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1, % Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
0,01M015,P.S. 015 Roberto Clemente,3,2018,All Students,20,613,0,0.0,4,20.0,13,65.0,3,15.0,16,80.0
1,01M015,P.S. 015 Roberto Clemente,4,2018,All Students,26,611,0,0.0,8,30.8,12,46.2,6,23.1,18,69.2
2,01M015,P.S. 015 Roberto Clemente,5,2018,All Students,21,607,5,23.8,5,23.8,6,28.6,5,23.8,11,52.4
4,01M019,P.S. 019 Asher Levy,3,2018,All Students,33,602,3,9.1,13,39.4,15,45.5,2,6.1,17,51.5
5,01M019,P.S. 019 Asher Levy,4,2018,All Students,31,597,7,22.6,11,35.5,10,32.3,3,9.7,13,41.9
6,01M019,P.S. 019 Asher Levy,5,2018,All Students,28,615,1,3.6,6,21.4,11,39.3,10,35.7,21,75.0
8,01M020,P.S. 020 Anna Silver,3,2018,All Students,77,593,19,24.7,31,40.3,24,31.2,3,3.9,27,35.1
9,01M020,P.S. 020 Anna Silver,4,2018,All Students,72,596,20,27.8,17,23.6,24,33.3,11,15.3,35,48.6
10,01M020,P.S. 020 Anna Silver,5,2018,All Students,60,598,24,40.0,15,25.0,11,18.3,10,16.7,21,35.0
12,01M034,P.S. 034 Franklin D. Roosevelt,3,2018,All Students,39,587,15,38.5,14,35.9,9,23.1,1,2.6,10,25.6
13,01M034,P.S. 034 Franklin D. Roosevelt,4,2018,All Students,32,589,11,34.4,15,46.9,4,12.5,2,6.3,6,18.8
14,01M034,P.S. 034 Franklin D. Roosevelt,5,2018,All Students,27,594,13,48.1,8,29.6,6,22.2,0,0.0,6,22.2
15,01M034,P.S. 034 Franklin D. Roosevelt,6,2018,All Students,33,593,13,39.4,12,36.4,5,15.2,3,9.1,8,24.2
16,01M034,P.S. 034 Franklin D. Roosevelt,7,2018,All Students,31,594,12,38.7,12,38.7,5,16.1,2,6.5,7,22.6
17,01M034,P.S. 034 Franklin D. Roosevelt,8,2018,All Students,52,598,8,15.4,24,46.2,10,19.2,10,19.2,20,38.5
