,Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Offers Kindergarten Classes,Has A Pre-K,Grades Offered,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal,Geographical District Code,Admin District Location Code,Lat,Lon,Pre-K Seats Available,Pre-K Applicants,Pre-K offers,Pre-K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre-K Total Enrollment Including Half Day And Full Day,Number of Female Students in Pre-K,Percentage of Female Students in Pre-K,Number of Male Students in Pre-K,Percentage of Male Students in Pre-K,Number of Asian Students in Pre-K,Percentage of Asian Students in Pre-K,Number of Black Students in Pre-K,Percentage of Black Students in Pre-K,Number of Hispanic Students in Pre-K,Percentage of Hispanic Students in Pre-K,Number of Students with a Race listed as Other in Pre-K,Percentage of Students with a Race listed as Other in Pre-K,Number of White Students in Pre-K,Percentage of White Students in Pre-K,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
0,01M015,M015,P.S. 015 Roberto Clemente,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1904,1904,114,990141,202349,103,2,2601,1003740020,MN28,Lower East Side                                                            ,Irene Sanchez,1,M801,40.722075,-73.978747,18,87,18,21%,25,160,26,16%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,17,9,53%,8,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,8,47%,6,35%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,47,63%,39,52%,Yes,Redacted For Privacy Concerns,0,0,8,20,1,Gymnasium,Y,Inside,N,No,No,41,"$3,807,647",$0,$0,190,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52%,91,48%,20,11%,52,27%,110,58%,2,1%,6,3%,45,24%,8,4%,161,85%,89%,92,145,1,Non-Zoned,No preference for kids who live in the zone,Yes,No Data,None,212-228-8730,"333 EAST  4 STREET, MANHATTAN NY 10009",1,0,Yes,Partially Accessible,Yes
1,01M019,M019,P.S. 019 Asher Levy,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1956,1956,62,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,Jacqueline Flanagan,1,M801,40.730009,-73.984496,18,81,18,22%,50,161,59,37%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,13,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,12,92%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,62,54%,65,59%,No,Redacted For Privacy Concerns,12,0,0,10,1,Gymnasium,Y,Inside,N,No,No,51,"$4,915,236",$0,$0,257,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44%,143,56%,23,9%,49,19%,166,65%,3,1%,16,6%,87,34%,8,3%,197,77%,67%,84,179,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-533-5340,"185 1 AVENUE, MANHATTAN NY 10003",1,1,Yes,Not Accessible,Yes
2,01M020,M020,P.S. 020 Anna Silver,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1963,1963,55,988044,202068,103,1,3001,1003550001,MN27,Chinatown                                                                  ,Sarah Pinto Viagran,1,M801,40.721305,-73.986312,54,190,34,18%,100,260,80,31%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,34,19,56%,15,44%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,21,62%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,82,36%,76,33%,No,Redacted For Privacy Concerns,16,0,0,22,1,Multi-Purpose Classroom,N,Inside,Y,No,No,64,"$5,738,328",$0,$0,497,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49%,253,51%,147,30%,51,10%,264,53%,19,4%,16,3%,114,23%,86,17%,356,72%,79%,198,314,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,"Chinese, Spanish",212-254-9577,"166 ESSEX STREET, MANHATTAN NY 10002",1,1,No,Partially Accessible,No
3,01M034,M034,P.S. 034 Franklin D. Roosevelt,310000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1955,1955,63,991163,203782,103,2,2800,1003810038,MN28,Lower East Side                                                            ,Angeliki Loukatos,1,M801,40.726008,-73.97505799999999,18,42,17,40%,25,69,27,39%,70,85,46,0.541176471,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,13,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,7,54%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,59,26%,35,15%,No,43,0,0,0,25,1,Gymnasium,N,Inside,N,No,No,55,"$4,952,127",$0,$0,333,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45%,183,55%,11,3%,106,32%,204,61%,3,1%,9,3%,122,37%,25,8%,325,98%,94%,111,226,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-228-4433,"730 EAST  12 STREET, MANHATTAN NY 10009",1,0,No,Not Accessible,No
4,01M063,M063,The STAR Academy - P.S.63,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1905,1905,113,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,Darlene Cameron,1,M801,40.72444,-73.986214,36,105,35,33%,50,180,44,24%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,26,12,46%,14,54%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,6,23%,13,50%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,39,56%,39,56%,No,12,19,0,0,21,0,Dance Room,Y,Inside,N,No,No,45,"$3,685,757",$0,$0,203,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49%,103,51%,6,3%,37,18%,128,63%,8,4%,24,12%,67,33%,2,1%,166,82%,76%,103,161,3,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-674-3180,"121 EAST  3 STREET, MANHATTAN NY 10009",1,1,Yes,Not Accessible,No
5,01M064,M064,P.S. 064 Robert Simon,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1954,1954,64,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,Marlon L. Hosang,1,M801,40.72313,-73.981597,36,63,34,54%,50,104,46,44%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,35,20,57%,15,43%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,7,20%,27,77%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,28,29%,28,29%,No,0,12,0,0,15,1,Multi-Purpose Classroom,Y,Inside,Y,No,No,39,"$3,659,120",$0,$0,245,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41%,144,59%,11,4%,51,21%,167,68%,3,1%,13,5%,71,29%,5,2%,223,91%,88%,68,151,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-673-6510,"600 EAST  6 STREET, MANHATTAN NY 10009",1,1,Yes,Not Accessible,No
6,01M110,M110,P.S. 110 Florence Nightingale,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1902,1902,116,989817,199992,103,1,1200,0,MN28,Lower East Side                                                            ,Karen Feuer,1,M801,40.7162,-73.9798,36,131,36,27%,50,242,50,21%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,30,12,40%,18,60%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,15,50%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,10,33%,126,72%,131,76%,Yes,6,22,0,17,25,1,Gymnasium,N,Inside,N,No,No,38,"$3,450,466",$0,$0,379,64,52,55,48,57,73,0,0,0,0,0,0,0,166,44%,213,56%,64,17%,37,10%,168,44%,11,3%,99,26%,47,12%,14,4%,235,62%,57%,53,232,1,Non-Zoned,No preference for kids who live in the zone,Yes,No Data,None,212-674-2690,"285 DELANCY STREET, MANHATTAN NY 10002",1,1,No,Not Accessible,No
7,01M134,M134,P.S. 134 Henrietta Szold,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1960,1960,58,988726,199497,103,1,202,1002880001,MN28,Lower East Side                                                            ,Daniel Kim,1,M801,40.714248,-73.98385400000001,36,48,31,65%,50,88,49,56%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,20,9,45%,11,55%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,15,75%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,46,28%,50,30%,No,42,18,0,0,18,1,Dance Room,N,Inside,N,No,No,61,"$5,179,743",$0,$0,297,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44%,166,56%,33,11%,64,22%,182,61%,7,2%,11,4%,119,40%,26,9%,269,91%,89%,151,226,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-673-4470,"293 EAST BROADWAY, MANHATTAN NY 10002",2,1,No,Partially Accessible,No
8,01M140,M140,P.S. 140 Nathan Straus,310000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1959,1959,59,988749,201282,103,1,2201,1003440001,MN28,Lower East Side                                                            ,Melissa Rodriguez,1,M801,40.719148,-73.983769,18,66,18,27%,50,102,37,36%,65,202,79,0.391089109,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,18,11,61%,7,39%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,13,72%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,60,24%,39,16%,No,29,13,0,0,13,1,Gymnasium,N,Inside,N,No,No,58,"$4,964,166",$0,$0,371,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49%,189,51%,21,6%,46,12%,292,79%,2,1%,10,3%,115,31%,36,10%,324,87%,91%,74,252,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-677-4680,"123 RIDGE STREET, MANHATTAN NY 10002",1,0,No,Not Accessible,Yes
9,01M142,M142,P.S. 142 Amalia Castro,310000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1976,1976,42,988653,200908,103,1,1402,1003430001,MN28,Lower East Side                                                            ,Daphna Gutman,1,M801,40.718121000000004,-73.984116,48,92,46,50%,75,116,47,41%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,32,16,50%,16,50%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,25,78%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,48,40%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,No,Redacted For Privacy Concerns,21,0,0,22,1,Multi-Purpose Classroom,Y,Inside,Y,No,No,66,"$5,578,190",$0,$0,340,68,56,49,44,50,41,0,0,0,0,0,0,0,152,45%,188,55%,8,2%,43,13%,281,83%,7,2%,1,0%,122,36%,27,8%,331,97%,90%,213,269,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,None,212-598-3800,"100 ATTORNEY STREET, MANHATTAN NY 10002",1,1,Yes,Partially Accessible,No
