Ats System Code,Geographical District Code,Elementary Admissions Methods,Elementary School Admissions Methods Description
01M015,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M019,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M020,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M034,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M063,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M064,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M110,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M134,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M140,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M142,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M184,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
